Date,Total in hospital (both ICU and non-ICU)
"April 2, 2021",1
"April 1, 2021",1
"March 31, 2021",1
"March 30, 2021",1
"March 29, 2021",1
"March 28, 2021",0
"March 27, 2021",0
"March 26, 2021",0
"March 25, 2021",0
"March 24, 2021",0
"March 23, 2021",0
"March 22, 2021",0
"March 21, 2021",0
"March 20, 2021",0
"March 19, 2021",0
"March 18, 2021",1
"March 17, 2021",1
"March 16, 2021",2
"March 15, 2021",1
"March 14, 2021",1
"March 13, 2021",1
"March 12, 2021",1
"March 11, 2021",1
"March 10, 2021",2
"March 9, 2021",1
"March 8, 2021",2
"March 7, 2021",2
"March 6, 2021",2
"March 5, 2021",3
"March 4, 2021",5
"March 3, 2021",4
"March 2, 2021",4
"March 1, 2021",2
"February 28, 2021",2
"February 27, 2021",2
"February 26, 2021",1
"February 25, 2021",1
"February 24, 2021",1
"February 23, 2021",1
"February 22, 2021",1
"February 21, 2021",1
"February 20, 2021",1
"February 19, 2021",1
"February 18, 2021",1
"February 17, 2021",1
"February 16, 2021",1
"February 15, 2021",1
"February 14, 2021",1
"February 13, 2021",1
"February 12, 2021",1
"February 11, 2021",1
"February 10, 2021",1
"February 9, 2021",1
"February 8, 2021",1
"February 7, 2021",1
"February 6, 2021",1
"February 5, 2021",2
"February 4, 2021",2
"February 3, 2021",2
"February 2, 2021",2
"February 1, 2021",2
"January 31, 2021",2
"January 30, 2021",2
"January 29, 2021",1
"January 28, 2021",1
"January 27, 2021",0
"January 26, 2021",0
"January 25, 2021",0
"January 24, 2021",0
"January 23, 2021",0
"January 22, 2021",0
"January 21, 2021",0
"January 20, 2021",0
"January 19, 2021",0
"January 18, 2021",0
"January 17, 2021",0
"January 16, 2021",0
"January 15, 2021",0
"January 14, 2021",0
"January 13, 2021",0
"January 12, 2021",0
"January 11, 2021",0
"January 10, 2021",0
"January 9, 2021",0
"January 8, 2021",0
"January 7, 2021",0
"January 6, 2021",0
"January 5, 2021",0
"January 4, 2021",1
"January 3, 2021",0
"January 2, 2021",1
"January 1, 2021",0
"December 31, 2020",1
"December 30, 2020",1
"December 29, 2020",1
"December 28, 2020",0
"December 27, 2020",0
"December 26, 2020",0
"December 25, 2020",0
"December 24, 2020",0
"December 23, 2020",0
"December 22, 2020",0
"December 21, 2020",0
"December 20, 2020",0
"December 18, 2020",0
"December 17, 2020",0
"December 16, 2020",0
"December 15, 2020",0
"December 14, 2020",0
"December 13, 2020",0
"December 12, 2020",0
"December 11, 2020",0
"December 10, 2020",0
"December 9, 2020",0
"December 8, 2020",0
"December 7, 2020",0
"December 6, 2020",0
"December 5, 2020",0
"December 4, 2020",0
"December 3, 2020",0
"December 2, 2020",0
"December 1, 2020",0
"November 30, 2020",0
"November 29, 2020",0
"November 28, 2020",0
"November 27, 2020",0
"November 26, 2020",0
"November 25, 2020",1
"November 24, 2020",0
"November 23, 2020",0
"November 22, 2020",0
"November 21, 2020",0
"November 20, 2020",0
"November 19, 2020",1
"November 18, 2020",0
"November 17, 2020",0
"November 16, 2020",0
"November 15, 2020",0
"November 14, 2020",0
"November 13, 2020",0
"November 12, 2020",0
"November 11, 2020",0
"November 10, 2020",0
"November 9, 2020",0
"November 8, 2020",0
"November 7, 2020",0
"November 6, 2020",0
"November 5, 2020",0
"November 4, 2020",0
"November 3, 2020",0
"November 2, 2020",0
"November 1, 2020",0
"October 31, 2020",0
"October 30, 2020",0
"October 29, 2020",0
"October 28, 2020",0
"October 27, 2020",0
"October 26, 2020",0
"October 25, 2020",0
"October 24, 2020",0
"October 23, 2020",0
"October 22, 2020",0
"October 21, 2020",0
"October 20, 2020",0
"October 19, 2020",0
"October 18, 2020",0
"October 17, 2020",0
"October 16, 2020",0
"October 15, 2020",1
"October 14, 2020",1
"October 13, 2020",1
"October 12, 2020",0
"October 11, 2020",0
"October 10, 2020",1
"October 9, 2020",1
"October 8, 2020",1
"October 7, 2020",1
"October 6, 2020",1
"October 5, 2020",1
"October 4, 2020",1
"October 3, 2020",1
"October 2, 2020",1
"October 1, 2020",1
"September 30, 2020",1
"September 29, 2020",1
"September 28, 2020",1
"September 27, 2020",1
"September 26, 2020",1
"September 25, 2020",1
"September 24, 2020",0
"September 23, 2020",0
"September 22, 2020",0
"September 21, 2020",0
"September 20, 2020",0
"September 19, 2020",0
"September 18, 2020",0
"September 17, 2020",0
"September 16, 2020",0
"September 15, 2020",0
"September 14, 2020",0
"September 13, 2020",0
