Date,Daily new cases,7-day average,null,Deaths,7-day average
12/25/2021,569,535.1428571,0,0,0.125
12/26/2021,578,555.5714286,0,0,0.125
12/27/2021,581,570.1428571,0,0,0.125
12/28/2021,561,583.8571429,0,0,0.125
12/29/2021,586,589.4285714,0,0,0.125
12/30/2021,511,596.4285714,0,0,0
12/31/2021,618,571,0,0,0
1/1/2022,709,572,0,0,0
1/2/2022,1184,592,0,0,0
1/3/2022,1020,678.5714286,0,0,0
1/4/2022,1020,741.2857143,0,0,0
1/5/2022,842,806.8571429,0,0,0
1/6/2022,745,843.4285714,0,0,0
1/7/2022,678,852,0,1,0.125
1/8/2022,1145,917.875,0,0,0.125
1/9/2022,837,933.875,0,0,0.125
1/10/2022,816,887.875,0,3,0.5
1/11/2022,616,837.375,0,1,0.625
1/12/2022,837,814.5,0,1,0.75
1/13/2022,542,777,0,0,0.75
1/14/2022,891,795.25,0,0,0.75
1/15/2022,627,788.875,0,0,0.625
